,irrad
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,1300.0
8,11900.0
9,24100.0
10,32600.0
11,43800.0
12,38900.0
13,28500.0
14,14700.0
15,7300.0
16,1000.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,1500.0
32,13300.0
33,25800.0
34,35900.0
35,40800.0
36,40600.0
37,35200.0
38,23500.0
39,8900.0
40,900.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,1700.0
56,12600.0
57,24800.0
58,34000.0
59,37400.0
60,40500.0
61,35000.0
62,23500.0
63,6700.0
64,1200.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,700.0
80,5500.0
81,10500.0
82,12700.0
83,22300.0
84,20400.0
85,13900.0
86,13400.0
87,5500.0
88,700.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,300.0
104,3400.0
105,12200.0
106,20800.0
107,19500.0
108,15400.0
109,16600.0
110,8900.0
111,5000.0
112,300.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,600.0
128,2800.0
129,5600.0
130,4900.0
131,6200.0
132,7000.0
133,4000.0
134,2800.0
135,1000.0
136,100.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,700.0
152,9800.0
153,15000.0
154,18100.0
155,13900.0
156,20000.0
157,36800.0
158,19600.0
159,5200.0
160,500.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,500.0
176,6600.0
177,15800.0
178,11400.0
179,8700.0
180,11900.0
181,8100.0
182,12100.0
183,7600.0
184,1000.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,200.0
200,6100.0
201,25200.0
202,34900.0
203,42000.0
204,25000.0
205,23300.0
206,11600.0
207,8600.0
208,1300.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,100.0
224,2800.0
225,6600.0
226,5500.0
227,8600.0
228,8800.0
229,6700.0
230,5100.0
231,2600.0
232,600.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,400.0
248,8300.0
249,14000.0
250,17400.0
251,29800.0
252,20500.0
253,16600.0
254,5200.0
255,2600.0
256,500.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,800.0
272,10000.0
273,7100.0
274,25600.0
275,33900.0
276,34000.0
277,13000.0
278,13500.0
279,7200.0
280,1300.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,1100.0
296,6300.0
297,11800.0
298,19400.0
299,24600.0
300,29000.0
301,31600.0
302,12300.0
303,9800.0
304,2100.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,2700.0
320,15600.0
321,14300.0
322,20900.0
323,25100.0
324,22800.0
325,18400.0
326,8800.0
327,5800.0
328,1300.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,200.0
344,3600.0
345,9500.0
346,17500.0
347,21700.0
348,24500.0
349,15900.0
350,10500.0
351,4200.0
352,400.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,1100.0
368,11400.0
369,18100.0
370,32500.0
371,30200.0
372,33000.0
373,24000.0
374,14900.0
375,7000.0
376,1400.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,1300.0
392,10000.0
393,20600.0
394,31100.0
395,42300.0
396,45000.0
397,41800.0
398,34100.0
399,17100.0
400,3000.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,1100.0
416,12700.0
417,26500.0
418,38400.0
419,45400.0
420,45700.0
421,40500.0
422,29900.0
423,16600.0
424,3200.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,1100.0
440,16800.0
441,32300.0
442,41700.0
443,38600.0
444,48800.0
445,39100.0
446,23200.0
447,10700.0
448,2800.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,1200.0
464,8100.0
465,17300.0
466,25500.0
467,20000.0
468,23900.0
469,15900.0
470,7900.0
471,3200.0
472,1600.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,400.0
488,3800.0
489,15300.0
490,17900.0
491,32400.0
492,41400.0
493,27100.0
494,11900.0
495,7600.0
496,1400.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,100.0
512,3600.0
513,9000.0
514,18200.0
515,25900.0
516,27700.0
517,14600.0
518,8300.0
519,6300.0
520,1800.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,300.0
536,4800.0
537,13000.0
